Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,280529.4375,268054.375,316734.78125,277551.5625,682364.8125,202226.171875,200977.59375,223622.234375
1,280558.46875,268409.40625,316988.6875,277871.4375,682618.375,202345.34375,201245.640625,223930.609375
2,280474.8125,268105.15625,316822.40625,277700.21875,682416.0625,202206.046875,201067.0,223765.734375
3,280396.3125,267664.46875,316526.90625,277349.65625,682128.4375,202029.734375,200753.8125,223427.6875
4,280402.8125,267543.5,316411.84375,277191.0625,682109.8125,201996.84375,200650.015625,223286.25
5,280530.21875,268052.78125,316735.5,277556.65625,682383.6875,202209.171875,200981.359375,223628.953125
6,280560.1875,268402.34375,316986.09375,277868.3125,682622.875,202328.71875,201240.90625,223928.015625
7,280472.65625,268094.15625,316818.65625,277696.125,682416.5625,202199.078125,201060.125,223762.515625
8,280403.4375,267681.03125,316544.34375,277368.875,682145.5625,202052.265625,200774.109375,223451.828125
9,280404.875,267556.28125,316423.90625,277206.78125,682121.1875,202024.640625,200669.6875,223308.953125
10,280526.84375,268065.65625,316746.84375,277573.90625,682394.9375,202248.34375,201003.171875,223653.71875
11,280547.5625,268411.46875,316991.03125,277883.34375,682638.5,202359.65625,201263.796875,223952.515625
12,280450.5625,268087.71875,316805.5,277690.3125,682413.75,202202.65625,201063.703125,223765.5625
13,280360.0,267622.28125,316488.90625,277312.84375,682113.25,201999.515625,200722.78125,223401.21875
14,280363.84375,267480.21875,316356.5,277133.40625,682075.375,201943.1875,200590.90625,223232.6875
15,280497.78125,268008.78125,316688.75,277511.3125,682357.0625,202170.109375,200928.6875,223581.828125
16,280541.84375,268380.53125,316961.0625,277850.53125,682625.1875,202313.96875,201217.203125,223906.28125
17,280460.40625,268077.8125,316798.34375,277684.125,682426.9375,202184.328125,201044.734375,223744.640625
18,280388.6875,267645.0,316511.8125,277341.4375,682139.125,202016.5,200743.078125,223418.578125
