Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,282556.28125,267240.5,303461.5,271634.875,682095.1875,198529.453125,197179.859375,218197.734375
1,282649.34375,267785.71875,303843.28125,272093.875,682454.5625,198747.78125,197594.890625,218648.265625
2,282616.71875,267739.84375,303855.96875,272122.21875,682460.9375,198737.328125,197623.21875,218702.265625
3,282524.53125,267295.0625,303569.4375,271778.71875,682119.375,198563.609375,197312.171875,218373.328125
4,282488.4375,266988.84375,303333.9375,271485.03125,681954.375,198443.796875,197074.0,218084.109375
5,282581.75,267289.59375,303507.5625,271678.75,682108.375,198585.25,197260.0625,218257.015625
6,282662.6875,267799.40625,303854.0,272092.96875,682418.125,198778.984375,197624.390625,218658.359375
7,282635.5,267758.09375,303869.125,272122.9375,682418.8125,198783.109375,197647.546875,218705.03125
8,282554.75,267334.125,303598.03125,271797.59375,682091.75,198625.296875,197356.875,218392.734375
9,282554.5,267071.71875,303399.28125,271539.375,681966.4375,198555.828125,197164.5625,218143.734375
10,282633.1875,267357.09375,303560.9375,271731.25,682131.5625,198664.8125,197353.671875,218317.90625
11,282730.96875,267911.78125,303952.53125,272204.5625,682523.8125,198900.21875,197794.4375,218793.015625
12,282698.0,267869.125,303967.90625,272239.25,682554.4375,198890.84375,197842.359375,218861.5
13,282607.59375,267430.5,303685.21875,271900.75,682205.5625,198711.671875,197550.8125,218547.046875
14,282565.9375,267113.28125,303440.21875,271599.71875,681998.1875,198599.90625,197313.875,218260.0625
15,282650.15625,267386.875,303588.46875,271766.75,682120.75,198715.78125,197473.015625,218407.3125
16,282736.34375,267902.03125,303945.375,272192.03125,682445.3125,198906.125,197856.21875,218823.5
17,282694.59375,267847.9375,303953.96875,272214.65625,682447.8125,198884.046875,197889.484375,218870.96875
18,282606.8125,267407.6875,303672.0625,271882.4375,682114.0,198707.203125,197595.0625,218550.265625
19,282567.8125,267070.8125,303400.625,271545.0,681887.0,198575.046875,197299.578125,218201.671875
20,282655.71875,267362.90625,303565.125,271732.9375,682025.3125,198696.828125,197469.71875,218356.34375
21,282699.5,267868.40625,303912.75,272166.9375,682367.0625,198857.84375,197863.734375,218787.46875
22,282641.75,267796.1875,303903.1875,272175.6875,682364.0,198805.640625,197878.03125,218826.09375
23,282533.125,267343.78125,303605.90625,271822.78125,682035.25,198610.375,197559.75,218489.921875
24,282494.40625,267041.5,303368.1875,271519.34375,681883.0625,198489.578125,197307.984375,218193.09375
25,282645.34375,267393.125,303591.6875,271762.1875,682100.25,198661.953125,197534.265625,218412.671875
26,282800.8125,268000.46875,304037.46875,272281.90625,682524.5,198929.28125,198006.78125,218927.5625
27,282793.46875,268012.625,304106.59375,272369.53125,682612.5625,198953.6875,198097.984375,219051.484375
28,282721.34375,267614.0625,303862.25,272074.375,682312.625,198807.25,197831.90625,218781.921875
29,282652.125,267273.59375,303605.1875,271762.09375,682078.0625,198657.3125,197571.734375,218488.84375
30,282688.78125,267453.75,303679.40625,271842.5625,682110.25,198671.34375,197624.296875,218546.0625
31,282763.0,267900.78125,303970.6875,272190.15625,682322.4375,198790.34375,197887.0625,218857.5625
32,282720.0,267808.25,303940.90625,272167.71875,682244.375,198731.609375,197838.78125,218827.875
33,282627.4375,267339.9375,303634.6875,271800.25,681926.5625,198527.84375,197485.8125,218444.859375
34,282580.0625,267016.625,303382.84375,271496.90625,681763.0,198398.03125,197221.15625,218125.859375
35,282675.71875,267347.96875,303581.40625,271733.125,681995.8125,198555.734375,197445.125,218335.515625
36,282751.0,267883.78125,303949.125,272184.8125,682350.0,198755.921875,197856.671875,218780.3125
37,282657.59375,267772.40625,303890.65625,272144.75,682280.125,198651.234375,197817.0625,218760.46875
38,282564.34375,267350.21875,303610.90625,271817.0,681987.8125,198459.265625,197523.53125,218445.125
39,282555.03125,267076.1875,303391.15625,271533.28125,681857.0625,198354.75,197286.34375,218156.96875
40,282769.15625,267520.09375,303690.125,271858.46875,682146.375,198589.453125,197597.5625,218456.65625
41,283048.125,268261.09375,304269.84375,272512.40625,682713.125,198987.125,198212.421875,219114.421875
42,282947.53125,268161.125,304245.78125,272507.375,682714.125,198925.171875,198218.859375,219155.734375
43,282849.09375,267719.1875,303976.40625,272190.25,682395.5625,198738.578125,197938.828125,218873.390625
44,282808.21875,267373.46875,303705.9375,271851.59375,682100.4375,198582.03125,197635.921875,218542.84375
45,282862.40625,267573.46875,303789.90625,271946.71875,682111.625,198607.6875,197687.515625,218598.375
46,282890.75,267945.9375,304012.4375,272220.9375,682230.0,198640.765625,197869.71875,218823.859375
47,282876.8125,267875.21875,304007.0,272221.8125,682154.8125,198591.0625,197831.90625,218810.265625
48,282842.375,267510.15625,303799.46875,271965.9375,681945.75,198486.0,197590.40625,218551.4375
49,282822.90625,267212.4375,303574.0625,271686.1875,681822.375,198374.25,197349.640625,218265.328125
50,282931.875,267511.0625,303735.375,271866.78125,681973.5625,198488.953125,197497.25,218403.828125
